empID,FName,LName,Sex,Salary,JobTitle,Country,BirthDate,HireDate
120148,Michael,Zubak,M,28480,Sales Rep. III,AU,13-Sep-49,6/1/78
120149,Judy,Chantharasy,F,26390,Sales Rep. I,AU,21-Nov-74,1/1/93
120150,John,Filo,M,29965,Sales Rep. III,AU,9-Jul-54,8/1/82
120151,Julianna,Phaiyakounh,F,26520,Sales Rep. II,AU,21-Nov-44,1/1/74
120152,Sean,Dives,M,26515,Sales Rep. I,AU,1-May-79,4/1/05
120153,Samantha,Waal,F,27260,Sales Rep. I,AU,7-May-79,1/1/98
120154,Caterina,Hayawardhana,F,30490,Sales Rep. III,AU,20-Jul-44,1/1/74
120155,Narelle,James,F,29990,Sales Rep. III,AU,22-Apr-84,4/1/06
120156,Gerry,Snellings,F,26445,Sales Rep. I,AU,1-Sep-88,3/1/06
120157,Leonid,Karavdic,M,27860,Sales Rep. II,AU,21-Feb-86,12/1/06
120158,Daniel,Pilgrim,M,36605,Sales Rep. III,AU,14-Jul-64,7/1/87
120159,Lynelle,Phoumirath,F,30765,Sales Rep. IV,AU,24-Feb-64,7/1/86
120160,Chuck,Segrave,M,27115,Sales Rep. I,AU,9-Sep-54,10/1/74
120161,Rosette,Martines,F,30785,Sales Rep. III,AU,7-Mar-88,10/1/06
120162,Randal,Scordia,M,27215,Sales Rep. I,AU,5-Sep-88,2/1/06
120163,Brett,Magrath,M,26735,Sales Rep. II,AU,22-May-64,1/1/91
120164,Ranj,Stamalis,F,27450,Sales Rep. II,AU,26-Nov-59,2/1/82
120165,Tadashi,Pretorius,M,27050,Sales Rep. I,AU,19-Mar-84,3/1/06
120166,Fadi,Nowd,M,30660,Sales Rep. IV,AU,14-Jun-44,1/1/74
120167,Kimiko,Tilley,F,25185,Sales Rep. I,AU,4-May-54,2/1/74
120168,Selina,Barcoe,F,25275,Sales Rep. I,AU,24-Mar-84,11/1/06
120169,Cos,Tannous,M,28135,Sales Rep. III,AU,2-Jan-84,5/1/06
120170,Alban,Kingston,M,28830,Sales Rep. III,AU,25-Feb-74,10/1/92
120171,Alena,Moody,F,26205,Sales Rep. II,AU,19-Jul-84,9/1/06
120172,Edwin,Comber,M,28345,Sales Rep. III,AU,1-Apr-44,1/1/74
120173,Hernani,Osborn,M,26715,Sales Rep. I,AU,23-Feb-54,6/1/77
120174,Doungkamol,Simms,F,26850,Sales Rep. I,AU,10-Jan-44,1/1/74
120175,Andrew,Conolly,M,25745,Sales Rep. I,AU,18-Aug-88,10/1/06
120176,Koavea,Pa,M,26095,Sales Rep. I,AU,9-Nov-86,11/1/06
120177,Franca,Kierce,F,28745,Sales Rep. III,AU,5-Apr-79,2/1/98
120178,Billy,Plested,M,26165,Sales Rep. II,AU,23-Nov-54,4/1/74
120179,Matsuoka,Wills,M,28510,Sales Rep. III,AU,15-Mar-74,1/1/04
120180,Vino,George,M,26970,Sales Rep. II,AU,27-Jun-54,12/1/78
120198,Meera,Body,F,28025,Sales Rep. III,AU,21-Jan-88,12/1/06
120261,Harry,Highpoint,M,243190,Chief Sales Officer,US,21-Feb-69,8/1/87
121018,Julienne,Magolan,F,27560,Sales Rep. II,US,3-Jan-44,1/1/74
121019,Scott,Desanctis,M,31320,Sales Rep. IV,US,25-Jun-86,6/1/04
121020,Cherda,Ridley,F,31750,Sales Rep. IV,US,23-Feb-84,5/1/02
121021,Priscilla,Farren,F,32985,Sales Rep. IV,US,10-Dec-74,3/1/94
121022,Robert,Stevens,M,32210,Sales Rep. IV,US,28-Oct-79,2/1/02
121023,Shawn,Fuller,M,26010,Sales Rep. I,US,13-Mar-64,5/1/89
121024,Michael,Westlund,M,26600,Sales Rep. II,US,21-Sep-84,5/1/04
121025,Barnaby,Cassey,M,28295,Sales Rep. II,US,10-Oct-49,9/1/75
121026,Terrill,Jaime,M,31515,Sales Rep. IV,US,8-Nov-86,4/1/06
121027,Allan,Rudder,M,26165,Sales Rep. II,US,5-May-64,12/1/89
121028,William,Smades,M,26585,Sales Rep. I,US,27-Apr-88,11/1/06
121029,Kuo-Chung,Mcelwee,M,27225,Sales Rep. I,US,22-Dec-64,12/1/89
121030,Jeryl,Areu,M,26745,Sales Rep. I,US,12-Nov-79,2/1/01
121031,Scott,Filan,M,28060,Sales Rep. III,US,9-Jul-64,8/1/85
121032,Nasim,Smith,M,31335,Sales Rep. IV,US,24-Feb-88,3/1/06
121033,Kristie,Snitzer,F,29775,Sales Rep. III,US,6-Nov-86,6/1/04
121034,John,Kirkman,M,27110,Sales Rep. II,US,23-Aug-88,1/1/07
121035,James,Blackley,M,26460,Sales Rep. II,US,25-Mar-44,1/1/74
121036,Teresa,Mesley,F,25965,Sales Rep. I,US,18-Jul-88,10/1/03
121037,Muthukumar,Miketa,M,28310,Sales Rep. III,US,12-Jun-74,3/1/02
121038,David,Anstey,M,25285,Sales Rep. I,US,13-Feb-88,8/1/06
121039,Donald,Washington,M,27460,Sales Rep. II,US,3-Jun-54,5/1/80
121040,Brienne,Darrohn,F,29525,Sales Rep. III,US,6-Jul-59,11/1/82
121041,Jaime,Wetherington,F,26120,Sales Rep. II,US,4-Feb-44,1/1/74
121042,Joseph,Robbin-Coker,M,28845,Sales Rep. III,US,4-Apr-79,11/1/99
121043,Sigrid,Kagarise,F,28225,Sales Rep. II,US,9-Nov-69,3/1/92
121044,Ray,Abbott,M,25660,Sales Rep. I,US,11-Dec-54,8/1/75
121045,Cascile,Hampton,F,28560,Sales Rep. II,US,13-Jun-64,1/1/94
121046,Roger,Mandzak,M,25845,Sales Rep. I,US,7-Sep-84,7/1/06
121047,Karen,Grzebien,F,25820,Sales Rep. I,US,26-Nov-79,9/1/06
121048,Lawrie,Clark,F,26560,Sales Rep. I,US,24-Jun-84,9/1/06
121049,Perrior,Bataineh,F,26930,Sales Rep. I,US,14-Feb-86,12/1/06
121050,Patricia,Capristo-Abramczyk,F,26080,Sales Rep. II,US,12-Jan-86,12/1/06
121051,Glorina,Myers,F,26025,Sales Rep. I,US,2-May-49,11/1/78
121052,Richard,Fay,M,26900,Sales Rep. II,US,9-Jan-86,11/1/06
121053,Tywanna,Mcdade,F,29955,Sales Rep. III,US,23-Sep-44,2/1/74
121054,Daniel,Pulliam,M,29805,Sales Rep. III,US,12-Nov-54,11/1/76
121055,Clement,Davis,M,30185,Sales Rep. III,US,8-Jan-88,8/1/06
121056,Stacey,Lyszyk,F,28325,Sales Rep. II,US,5-Jul-84,5/1/03
121057,Tachaun,Voron,M,25125,Sales Rep. I,US,26-Dec-59,12/1/80
121058,Del,Kohake,M,26270,Sales Rep. I,US,12-Jul-74,10/1/02
121059,Jacqulin,Carhide,F,27425,Sales Rep. II,US,25-Oct-59,4/1/81
121060,Elizabeth,Spofford,F,28800,Sales Rep. III,US,8-Jun-44,1/1/74
121061,Lauris,Hassam,M,29815,Sales Rep. III,US,16-Jul-54,7/1/84
121062,Debra,Armant,F,30305,Sales Rep. IV,US,28-Oct-84,8/1/06
121063,Regi,Kinol,M,35990,Sales Rep. II,US,27-Jul-79,8/1/05
121064,Asishana,Polky,M,25110,Sales Rep. I,US,28-Jan-64,9/1/91
121065,Corneille,Malta,F,28040,Sales Rep. III,US,5-Sep-84,4/1/06
121066,Ceresh,Norman,F,27250,Sales Rep. II,US,23-Aug-44,1/1/74
121067,Jeanilla,Macnair,F,31865,Sales Rep. IV,US,18-Jan-86,3/1/06
121068,Salaheloin,Osuba,M,27550,Sales Rep. II,US,2-Dec-69,9/1/92
121069,Jason,Lapsley,M,26195,Sales Rep. II,US,19-Mar-69,10/1/90
121070,Agnieszka,Holthouse,F,29385,Sales Rep. III,US,4-Nov-84,2/1/06
121071,John,Hoppmann,M,28625,Sales Rep. III,US,10-Sep-59,9/1/77
121072,Christer,North,M,26105,Sales Rep. I,US,10-Jan-79,9/1/04
121073,Donald,Court,M,27100,Sales Rep. I,US,15-May-49,1/1/74
121074,Eric,Michonski,M,26990,Sales Rep. I,US,1-Mar-59,10/1/88
121075,Kasha,Sugg,F,28395,Sales Rep. II,US,23-Dec-44,1/1/74
121076,Micah,Cobb,M,26685,Sales Rep. II,US,9-Oct-64,1/1/83
121077,Bryce,Smotherly,M,28585,Sales Rep. III,US,5-Sep-84,10/1/06
121078,Lionel,Wende,M,27485,Sales Rep. I,US,1-May-49,11/1/78
121079,Azmi,Mees,M,25770,Sales Rep. I,US,3-Jun-74,11/1/97
121080,Kumar,Chinnis,M,32235,Sales Rep. I,US,24-Jan-59,9/1/87
121081,Susie,Knudson,F,30235,Sales Rep. III,US,28-Mar-49,4/1/76
121082,Richard,Debank,M,28510,Sales Rep. III,US,5-Jul-49,10/1/77
121083,Tingmei,Sutton,F,27245,Sales Rep. I,US,11-Mar-59,3/1/79
121084,Tulsidas,Ould,M,22710,Sales Rep. I,US,16-Aug-64,1/1/91
121085,Rebecca,Huslage,M,32235,Sales Rep. IV,US,12-Nov-86,1/1/07
121086,John-Michael,Plybon,M,26820,Sales Rep. I,US,16-Dec-44,1/1/74
121087,Virtina,O'Suilleabhain,F,28325,Sales Rep. II,US,7-Dec-74,3/1/99
121088,Momolu,Kernitzki,M,27240,Sales Rep. I,US,10-Jun-88,1/1/07
121089,Gregory,Sauder,M,28095,Sales Rep. II,US,21-Aug-54,7/1/74
121090,Betty,Klibbe,F,26600,Sales Rep. I,US,19-Jun-54,2/1/80
121091,Ernest,Kadiri,M,27325,Sales Rep. II,US,19-Feb-69,1/1/89
121092,Gynell,Pritt,F,25680,Sales Rep. I,US,8-Mar-74,8/1/02
121093,Carl,Vasconcellos,M,27410,Sales Rep. I,US,18-Jul-64,1/1/94
121094,Larry,Tate,M,26555,Sales Rep. I,US,7-Jan-54,9/1/78
121095,Sara,Kratzke,F,28010,Sales Rep. II,US,14-Apr-69,7/1/91
121096,Robert,Newstead,M,26335,Sales Rep. I,US,18-May-69,5/1/95
121097,Willeta,Chernega,F,26830,Sales Rep. II,US,23-Oct-74,10/1/95
121098,Hal,Heatwole,M,27475,Sales Rep. I,US,22-Mar-88,5/1/06
121099,Royall,Mrvichin,M,32725,Sales Rep. IV,US,19-Mar-79,5/1/00
121100,Tzue-Ing,Cormell,M,28135,Sales Rep. II,US,27-Apr-49,4/1/76
121101,Burnetta,Buckner,F,25390,Sales Rep. I,US,28-Aug-86,11/1/06
121102,Rocheal,Flammia,F,27115,Sales Rep. I,US,26-Jun-79,6/1/06
121103,Brian,Farnsworth,M,27260,Sales Rep. I,US,28-Apr-88,9/1/06
121104,Leoma,Johnson,F,28315,Sales Rep. II,US,12-Nov-64,4/1/86
121105,Jessica,Savacool,F,29545,Sales Rep. III,US,9-May-79,1/1/03
121106,James,Hilburger,M,25880,Sales Rep. I,US,2-Feb-69,2/1/96
121107,Rose,Anger,F,31380,Sales Rep. IV,US,24-Apr-86,7/1/06
121108,Libby,Levi,F,25930,Sales Rep. I,US,4-Jul-88,11/1/06
121109,Harold,Boulus,M,26035,Sales Rep. I,US,5-Nov-69,5/1/90
121135,Tammy,Ruta,F,27010,Sales Rep. I,US,7-Jun-54,8/1/74
121136,Lesia,Galarneau,F,27460,Sales Rep. I,US,15-Jul-74,12/1/02
121137,Michael. R.,Boocks,M,27055,Sales Rep. I,US,18-Jan-88,4/1/06
121138,Hershell,Tolley,M,27265,Sales Rep. I,US,28-Feb-49,1/1/74
121139,Diosdado,Mckee,F,27700,Sales Rep. II,US,19-Aug-59,7/1/87
121140,Saunders,Briggi,M,26335,Sales Rep. I,US,23-Jan-79,4/1/01
121143,Louis,Favaron,M,95090,Senior Sales Manager,US,26-Nov-69,7/1/97
121144,Renee,Capachietti,F,83505,Sales Manager,US,28-Jun-64,11/1/91
121145,Dennis,Lansberry,M,84260,Sales Manager,US,22-Nov-49,4/1/76
